Tweet,Username,Date
"LOOK: As it starts to get dark in Iloilo City, Ilonggo 'Kakampinks' light their torches for the Kasanag Walk for Leni-Kiko.#Halalan2022 #PHVote #WeDecide @rapplerdotcom@MovePH",au_rielle,5/7/2022
"LOOK: 23% of 1.6 million voters abroad have cast their ballots as of May 5!STORY: https://bit.ly/3vRBC9T#FlyingKetchup #Halalan2022",FlyingKetchup,5/7/2022
"WATCH: Hundreds of Ilonggo 'Kakampinks' swarm the Iloilo City bike lanes for the Kasanag Walk for Leni-Kiko on the last day of the campaign period today, May 7, 2022.#Halalan2022 #PHVote #WeDecide | @rapplerdotcom@MovePH",au_rielle,5/7/2022
Let's not miss this election and choose the right leader. The whole world is watching. Ipapanalo Na10 'to. 🌷🌸 #Halalan2022 #IpanaloNa10ParaSaLahat #LeniKikoAllTheWay #LeniKiko2022,dubchiii,5/7/2022
"There is a lot to hope for in this campaign, there is a lot to fight for as well; tumindig tayo 🌸🌾 #artph #halalan2022 #PaperPirate #dapatsileni #nanaybating #angatbuhaylahat #lenikiko2022 #lenirobredo #lenikiko2022 #ipanalona10to #letlenilead #letlenilead2022 #dapatsileni",marycruzing,5/7/2022
"Kaya pa ba ng ating Energy? ⚡️For our environment, health, and economy, we need to shift to cleaner energy sources sooner rather than later. Is this clear to our #Halalan2022 presidential candidates?",wavefarers,5/7/2022
The power is our people. #letlenilead #halalan2022,paoloherras,5/7/2022
LOOK: Willie Revillame performs in UniTeam miting de avance #Halalan2022,ABSCBNNews,5/7/2022
"Philippines, Publicus Asia poll:Presidential Election Marcos (PFP, Centre-right): 57% (-3)Robredo (Ind., Liberal): 23% (-1)Domagoso (AD, Centre-left): 9% (-1)…+/- vs. 30 Mar - 6 Apr 2022Fieldwork: 2-5 May 2022Sample size: 1,500http://asiaelects.com/Philippines#Halalan2022",AsiaElects,5/7/2022
"ELECTION SILENCE WILL BE EFFECTIVE IN 20 MINUTES Y'ALL! 🇵🇭#PHVote #Halalan2022 #TheFilipinoVotes",keepatbae,5/7/2022
Christian Bautista is also present in the event serenading the attendees post-miting de avance. #Halalan2022 | @ABSCBNNews,josiahvantonio,5/7/2022
LOOK: “Kakampinks” also used their placards to represent several “groups” that are for the Robredo-Pangilinan tandem. #Halalan2022 | via @KevAlabaso,ABSCBNNews,5/7/2022
For the first time: KathNiel joins Leni-Kiko rally #Halalan2022,ABSCBN_Showbiz,5/7/2022
Grand finale of #LeniRobredo campaign in Makati. Was not able to see the main stage(despite 2 hours of walking😂). Never see this big crowd before. It’s bigger then Bersih 4. #Halalan2022,mandeepkarpall,5/7/2022
"Ben&Ben now takes the stage starting their set with ""Pagtingin,"" one of their classics. #Halalan2022 | @ABSCBNNews",josiahvantonio,5/7/2022
"My final live report for @TVPatrolin the campaign season:Supporters of VP @lenirobredomade a strong show of force on the last day of the campaign.The 750,000-strong crowd capped the historic 3-month campaign run, hopefully translating to votes on #Halalan2022.@ABSCBNNews",JervisManahan,5/7/2022
"Moonstar88 performs their own rendition of ""Rosas,"" one of the songs for the Leni-Kiko campaign. #Halalan2022 | @ABSCBNNews",josiahvantonio,5/7/2022
"Must watch Philippine Center for Investigative Journalism @PCIJdotOrgshort video about Marcos’ social media-driven brand rehabilitation versus Leni’s inspiring grassroots campaign #Halalan2022 #Eleksyon2022👉🏽 https://m.youtube.com/watch?v=anBF1_BCyyo",jonathan_c_ong,5/7/2022
"WATCH: The pink crowd goes wild as the host announces the crowd estimate: 750,000. #Halalan2022",anthesguerra,5/7/2022
"#Halalan2022#Eleksyon2022#PHVote2022 —Prepared by Yelena Castañares, Ronan Colin Co, and Kimberly NgFollow Today’s Carolinian on Instagram @todaysusc",todaysusc,5/7/2022
"Candidates are rushing to woo voters in the hopes of punching in the numbers for #Halalan2022. But more than just statistics, voters have stories and aspirations for the nation.READ: http://tinigngplaridel.net/2022/elex-on-ground/Story and photos by J-Ann Avila and Guinevere Latoza",tinigngplaridel,5/7/2022
NatSit: There are two days left before voting day for #Halalan2022—when each Filipino must choose a maximum of 12 candidates to support in their Senate bid. Outlined below are the stances of some of the senatoriables on the country's most critical issues.,TheLaSallian,5/7/2022
"WATCH: Confetti shower, fireworks display as miting de avance of Aksyon Demokratiko standard bearer Isko Moreno Domagoso, his #Halalan2022 slate in Moriones, Tondo ends. | via @biancadava",ABSCBNNews,5/7/2022
"As if about to enter the ring for a boxing bout, Pacquiao capped his miting de avance speech by raising both his arms and eventually putting his right hand to his heart while being rained by confetti. #Halalan2022 | via @sherieanntorres",ABSCBNNews,5/7/2022
"No campaigning tomorrow, get your politics fix here! Listen up… the #Philippines election #Halalan2022 thru the human rights lens c/o @ASEANMP#podcast #advocate https://buzzsprout.com/1383070/10565115",Vpedrosa,5/7/2022
What can people expect from a Marcos Jr. presidency? #Halalan2022,ANCALERTS,5/7/2022
Firehose of disinformation floods run-up to election #Halalan2022,ANCALERTS,5/7/2022
"Temperature scanners, signage and tents have been set up inside and outside Tenement Elementary School in Taguig. It is the school with the most number of voters. #Halalan2022",jekkipascual,5/7/2022
"#Halalan2022, the official SPU National Elections Zine, is OUT NOW! 🔥https://bit.ly/SPUHalalan2022 Read through each of the candidates’ stances on pressing matters. Familiarize yourselves with a comprehensive overview of their backgrounds, achievements, and qualifications. 🔎",TheBenildean,5/7/2022
"WOW 264K VIEWERS! #BringBackMarcos #BBMSaraUNITEAM #Halalan2022 #MarcosDuterte2022 7️⃣BBM is #7BongbongMarcos4️⃣Mayor Inday is #4SaraDuterte.❤🇵🇭💚WATCH IT HERE GUYS! https://fb.watch/cSdMnX94WE/LET'S WIN THIS!",8potatoooo,5/7/2022
"please take time to read this#Elections2022 #PHElections2022 #Halalan2022",azei_arts,5/7/2022
"In Jesus name. Amen. VP @lenirobredo*photo not mine. Ctto. #Halalan2022",jeyseen2626,5/7/2022
"To our future president:Please give attention to our arts & entertainment. We have lots of internationally recognized PPOP idol groups that can rake in revenue for our tourism sector#ppoprise2022 #Halalan2022",wEaVgAaNn,5/7/2022
"WATCH: Ilonggos chant ""Marcos magnanakaw, never again"" as the crowd starts to arrive at the Iloilo Esplanade 3. The Kasanag Unity Walk for Leni-Kiko is the final event of the Iloilo-based volunteer chapters for the Robredo-Pangilinan tandem before #Halalan2022.#PHVote @MovePH",au_rielle,5/7/2022
"Oh. This is going to happen. 🤭 people will be walking, protesting if they win #Halalan2022",kg_0917,5/7/2022
Sharing my list for #Halalan2022 #BBMSaraUNITEAM,8potatoooo,5/7/2022
spot the difference 😂😂😂 #pulaangpilipinas #uniteam #UniTeamBBMSara #BringBackMarcos #BBMSARA2022 #Halalan2022,chinoichikawa,5/7/2022
"At the post-miting de avance concert, bands Moonstar88 & Kamikazee perform a rearranged rock version of the Robredo campaign anthem “Rosas” which they jokingly dubbed “Guns & Rosas”. | via @anjo_bagaoisan#Halalan2022",ABSCBNNews,5/7/2022
"The College of Arts and Sciences Student Council fully supports the following candidates for the upcoming 2022 National Elections this coming May 9. #UPLBCASForLeniKiko#Halalan2022#LeniKiko2022#IpanaloNa10ParaSaLahat#KulayRosasAngBukas#AngatBuhayLahat",CASSC_UPLB,5/7/2022
"""The government has the power to change our lives but we have the power to change the government""-Catriona Gray @catrionaelisa, 7pm 7 May 2022 #MakatiIsPink #PilipinasIsPink #Ipana7oNa10ParaSaLahat #Halalan2022 #IbotoNa10Pilipinas",lemuntivero,5/7/2022
"Pink Sunday, Feb 15 2022 — Miting de Avance, May 7 2022It was an honor. 💙🤍 Good luck to us next week! #Halalan2022",fronseen,5/7/2022
LOOK: Participants at the Robredo-Pangilinan miting de avance in Makati sign their names & write messages on a pink banner laid out on the sidewalk of Ayala Ave. On it are painted the names “LENI - KIKO”. #Halalan2022 | via @anjo_bagaoisan,ABSCBNNews,5/7/2022
LOOK: “Kakampinks” flash their placards with witty captions ahead of the Robredo-Pangilinan Miting de Avance at Makati. #Halalan2022 | via @KevAlabaso,ABSCBNNews,5/7/2022
"I was asked by my Brother (he will vote for Isko) why BBM?Simplest answer:He is the only Presidential Candidate who never fails to hold and be proud of our flag 🇵🇭 in his every campaign. It tells alot!#Halalan2022#BBMSaraUNITEAM",KeepingStill,5/7/2022
"I hope the 25-30% (31.5% for Ian😂) ay hindi magfafade. If we remain and consolidate our strength💪🏼, maybe we can pave the way for an ideology-based and competitive political party💙❤️💛#ParaSaLahat🇵🇭#Halalan2022",IanIslander3,5/7/2022
"""It is our duty to choose candidates that can foster scientific and technological progress while protecting our environment.""Vote responsibly this 𝗠𝗮𝘆 𝟵.Read the whole statement:https://bit.ly/PSYSCElections2022#BotongScienceClub#FortheFilipinoYouth#Halalan2022",psysc_inc,5/7/2022
"""The last man standing is a woman and the last man standing is a farmer."" — Kiko PangilinanBruh this gave me chills 😭 ipanalo na naten to, please lang. #MakatiIsPink#PilipinasIsPink#Halalan2022#Ipana7oNa10ParaSaLahat",Xylianaa,5/7/2022
"LOOK: 23% of 1.6 million voters abroad have cast their ballots as of May 5!STORY: https://bit.ly/3vRBC9T#FlyingKetchup #Halalan2022",FlyingKetchup,5/7/2022
"WATCH: Hundreds of Ilonggo 'Kakampinks' swarm the Iloilo City bike lanes for the Kasanag Walk for Leni-Kiko on the last day of the campaign period today, May 7, 2022.#Halalan2022 #PHVote #WeDecide | @rapplerdotcom@MovePH",au_rielle,5/7/2022
"Confetti in the sky 🌌 @lenirobredo’s final presidential campaign rally is full of confetti, an allusion to confetti rallies that started on Ayala Avenue in Makati, Manila, and led to protests that ousted the late President Ferdinand Marcos in 1986 #PHVote #WeDecide #Halalan2022",PichayadaCNA,5/7/2022
"It’s the last day for campaigning in the Philippines, and four top presidential candidates are holding their biggest rallies today in Metro Manila. Here’s what you need to know before Monday’s election #Halalan2022:",cheskareports,5/7/2022
"I’ve used many of their videos in my own Comm and Media Studies syllabi. So this was especially cool to be part of TOP media analysis program @AJListeningPostfor their short doc on the #Philippines elections #Halalan2022 #Eleksyon2022 #phvote 👉🏽",jonathan_c_ong,5/7/2022
"But the struggle doesn’t end here: Our next leaders must adopt the findings and stand for #ClimateJusticeNow.
On #Halalan2022, vote for climate justice. Vote for our future >> http://act.gp/love52",gpph,5/7/2022
"Latest Social Engagement Scores show VP Leni pulling away from BBM. #PHVote2022 #Halalan2022 #VotePH #OurVoteOurFuture #WeDecide #BilangPilipino2022https://facebook.com/ADDSSentiment/posts/pfbid06o6CLzKHdUhuTmECEy7g5BRReMMM84PV72E1i5AbxJjJbguhHvMsnhfMhSnFv1GHl",wilsonchua,5/7/2022
"Okay lang!#hobbiesparktoyshop #bbm #leni #halalan2022",HobbiesParkToys,5/7/2022
"One of the many reason why I will never vote BBM because of his Trolls farm.#Halalan2022",codegeass_cc000,5/7/2022
"If #BBM and #Sara win, the #INC can share credit for the victory. And it will also show #Catholic priests, #bishops and nuns do not have what it takes to beat back to life two dead horses. #Halalan2022 #BilangPilipino #Eleksyon2022 #Philippines",JstToTheQuick,5/4/2022
"The hottest items for sale after the elections will be red #BBM tshirts and airline tickets.@bongbongmarcos#Halalan2022 #BilangPilipino2022 #Eleksyon2022",JstToTheQuick,5/5/2022
"Alam nyo, yung labandera namin BBM noon. Tapos you know who convinced her to switch to Leni? Her son. Na minor at hindi pa makaka boto. ♥ Loren Legarda can't relate#LabanLeni2022 #LetLeniLead #Halalan2022",youareyourname,5/5/2022
"I was asked by my Brother (he will vote for Isko) why BBM?Simplest answer:He is the only Presidential Candidate who never fails to hold and be proud of our flag 🇵🇭 in his every campaign. It tells alot!#Halalan2022#BBMSaraUNITEAM",KeepingStill,5/7/2022
56% Survey rating means there is 1 BBM supporter for every 2 people you meet. Wow. #Halalan2022 #VotePH,engrJPAT,5/3/2022
"I am sorry I wanna be respectful but you are an OFW are you sure about BBM? It is also confusing that you went from Leni → BBM #HALALAN2022https://twitter.com/i/spaces/1YqGopgEbOXJv",brreadystuff,5/5/2022
also what platforms does he have for OFW 😭 — ALSO it's ironic that you are a swiftie too (I am assuming you are given with the profile pic you have),brreadystuff,5/6/2022
On of the difference between VP Leni and bbm: bbm is a politician while VP leni is a public servant. #Halalan2022 #LabanLeni #LetLeniLead2022 #LeniKiko2022,real_ramoncruz,5/5/2022
"BBM and Sara for the Philippines on May 9, 2022. #Halalan2022",AmigoManila,5/7/2022
"That is why I choose him as my President. Can't the others see how well mannered he is? #Halalan2022 has become a catalyst for some to hope for the brighter future after BBM declared his candidacy. BBM supporters on the other hand, knows the definition of RESPECT. #BBMSaraUNITEAM",UrStellaAmare,5/2/2022
"Good governance starts with our generation. Laban Millenials at Gen Z. #Halalan2022#Ipana7oNa10ParaSaLahat #LeniKikoAllTheWay2022 #BBM #ISKO #PING #PACQUIAO",pinkarmy1004,5/6/2022
#HALALAN2022 whyket always from website ni bbm ang sources :((,BUNNlNAYEON,5/5/2022
"#BBM is probably the most watched, monitored, scrutinized and hounded candidate ever to run for any position on earth..BBM's campaign is not run on stolen funds. It is fueled by reality, & the practical minds who get it when they see it.@bongbongmarcos#Halalan2022 #Philippines",JstToTheQuick,5/4/2022
"Whosoever wins on May 9; may it be KLDG, Leni, Isko, or, I hate to say it, BBM, shall be treated as a public servant of the Filipino people.Politics is a dangerous game, most certainly in the hands of politicians like the Marcoses. #Halalan2022",itsmedizonnn,5/4/2022
"Haan nak Maka - LENI
Haan nak Maka -BBM
MAKA…AS ASAWA AKON, de joke lang. 🤪😂
Just a gentle reminder: Don’t ruin your friendship over politics. ❤️💙💗🤍💚
Let’s continue to pray for our Nation. Let’s pray for our Government.
#Halalan2022 #VoteWisely",chriiistellejoy,5/7/2022
"UNITEAM, we & sir BBM are always attacked unprovoked. But let us remind ourselves that they're just one click away. REPORT & BLOCK.Let's continue to pray for a peaceful & honest #Halalan2022 Mahalin natin ang Pilipinas. Mabuhay tayong lahat! Sama-sama tayong babangon muli!",MyMissRight_twt,5/2/2022
"I never imagined I will get to see and experience MARCOS leadership in my lifetime. Great times ahead, folks. PRRD had set a very high standard of leadership and public service, I hope that BBM match that or even surpass it. #BBMSaraUNITEAM #BBMIsMyPresident2022 #Halalan2022",RyanRZambrano,5/5/2022
"actually, bbm visiting and helping tacloban after nung typhoon yolanda, was actually on the news. search up online articles regarding the help tacloban received from bbm and news articles will pop up.
#HALALAN2022
https://twitter.com/i/spaces/1YqGopgEbOXJv",DLNDN10,5/5/2022
"Ph peso purchasing power will become weaker next week if Pinoy electorates vote UNWISELY. Some foreign employers warned of pulling out their BPO firms if bbm win! 😢May God guide us & grant us this #Halalan2022 TRIUMPH for the Phils. & the Fils. come May 09. 🙏🙏🙏",SnowflakesRacer,5/4/2022
"Yet the Pulse Asia survey says that there are more educated voters voting for BBM but look, it doesnt seem like that on the ground. #halalan2022 #PulseAsia",aristosocrato89,5/4/2022
I'd really love to hear from BBM and Sara but they did not show up #Halalan2022,sharashiii,5/5/2022
"#HALALAN2022and smni covers the interview of bbm with the people, hindi pa ba bias yun mga beh?https://twitter.com/i/spaces/1YqGopgEbOXJv",gabbricx,5/5/2022
"nakakakilabot how bbm supporters and apologists treat these data as mere numbers, statistics. please remember that these numbers represent LIVES. some were mothers, fathers, children. human lives are not mere numbers. #NeverAgain #Halalan2022",lvrtzu,5/5/2022
"let someone speak their minds. ang ironic lang din na some kakampinks are shutting off bbm supporters tapos ipinaglalaban ang freedom of expression hAy #HALALAN2022https://twitter.com/i/spaces/1YqGopgEbOXJv",_vvanillaaa,5/5/2022
"Same with the other candidates (≧▽≦)...Ganda ng Mindset niya....Same with me, Bbm is my bet because I only think he's the most presidentiable of all candidates...but it doesnt mean I'm gonna dedicate my life defending him lol... #Eleksyon2022#Halalan2022 #Mythoughts",Nica_QuQ,5/5/2022
"LENI and BBM's major accomplishments and statement of assets, liabilities, and net worth.Hindi ka ba mapapaisip kung bakit ganun kalaki ang net worth no BBM? look at the major accomplishments din. This is from an unbiased website. #Halalan2022",namgijinist,5/3/2022
I will be fine with a BBM presidency as long as for six years all taxes will be removed. Game?😂 #BOBOtoKA #Halalan2022 #LeniForPresident2022 #LeniKikoAllTheWay2022,CRISis73,5/1/2022
what is this girl talking about? bbm had all the time in the world to prepare for shit so you argumenting that ppl his reputation was ruined because of the 2016 debates is so funny. public servant siya so dapat alam niya of all ppl. he had it coming so stfu #HALALAN2022,sailorjaemjen,5/5/2022
"invite more bbm supporter so that we will have more discussions#HALALAN2022https://twitter.com/i/spaces/1YqGopgEbOXJv",fcvisteb,5/5/2022
The Last piece of the puzzle. INC endorses #7 BBM & #4 inday Sara. #Halalan2022 #BBMIsMyPresident2022 #BBMSARA2022,bikolcwchrncls,5/3/2022
"may platform nga si bbm, i've seen them. however, debates are his chance to tell those platforms to us, yung manggagaling sa bibig niya mismo #HALALAN2022",singyularities,5/5/2022
"Keep our conversations decent and respectful. Our words are powerful, it can build or destroy a person. 🌸#Halalan2022 #philippines #eleksyon2022 #LetLeniLead #bbm #isko #mannypacquiao",just_caloi,5/7/2022
"A lot of my friends said that their 1st choice is Ping but will not be voting for him.Some of them will vote for BBM to lessen Leni’s chance of winning and some will vote for Leni coz she have a better chance of defeating BBM.#Halalan2022 #WastedVotes#TrueStory",ezratosphere,5/5/2022
"Political analyst Edmund Tayao says the only reason BBM's chances of winning will change if a ""black swan"" happens.
Read more: https://m.facebook.com/story.php?story_fbid=144376038107469&id=100076052214711
#PartidoFederalngPilipinas
#UniTeamBBMSara
#Halalan2022",PartidoFederalP,5/4/2022
"""BBM survey numbers is a validationthat the country has had enough of cheap politicking (by Mrs. Robredo), no matter you sugarcoat it with motherhood statements.""""Unless God has other plans, it should be all over but the counting.""Umagang Kayganda#BBMSaraUNITEAM #Halalan2022",nueve_mar_esod,5/2/2022
"If you encountered a FAKE News, manaliksik ka sa mga tamang avenue. Hindi lang sa tiktok university. If student ka ngayon, read books, google it. Don’t go to sliced videos. God created you a thinking being for a reason. Don’t waste it. #Halalan2022 #LeniForPresident2022 #BBM",MasterBien,5/2/2022
"I don't know if I'll be able to convince BBM supporters with this. I've been listening to twt spaces that's been floating around and war always comes up. Here's some food for thought.#Halalan2022 #IpanaloNa10ToParaSaLahat#BBMSaraUNITEAM",kachicactus,5/6/2022
"this is and will be BBM's (hell, any Marcos) last chance of ever winning an election on a national level.he knows this. that's why he ran for the highest spot when he could. that's why he played all his cards and called in his favors.#Halalan2022",r_czarls,5/3/2022
"Currently reading mindf*ck.The story of how (CA) Cambridge Analytica started the use of Psychological weapon with the data from FB to turn people with ""dark triad"" traits to act on CA's will.Dika immune if you do not know this tacticts#Halalan2022#ILOILOisPink#LeniKiko#BBM",aristosocrato89,5/3/2022
"🧵on 🇹🇼#Halalan2022| I’m sorry for failing y’all, #Kakampinks back home. Marcos has won & will win in Taiwan by a massive margin. We don’t have enough resources (time, money, people) to combat BBM’s huge machinery in factories, migrant orgs, & communities (confirmed by insiders)",ginollopez,5/2/2022
LOOK: Another placard prepared by a supporter here at Isko’s miting de avance reads: “BBM - Buong Bansa Moreno.” #Halalan2022 @ABSCBNNews,biancadava,5/7/2022
"hello po, i just want to ask po sana BBM supporters, on what made them choose their candidate? Kasi for example, my parent's argument was because she's an ILOCANO, so bakit pa raw boboto ng iba. Thank you, po!#HALALAN2022https://twitter.com/i/spaces/1YqGopgEbOXJv",islaynessariego,5/5/2022
"Just talked to my roommate who works in the BPO Industry as HR. The rumors are true, there are talks about investors pulling out if BBM becomes president. There are thousands of them working there. It's not only them that will suffer but the whole economy. 📉#Halalan2022",pinkarmy1004,5/4/2022
"i ask my relatives na bbm and they said why the dont like leni bcs leni is a puppet daw ng mga dilawan. #HALALAN2022https://twitter.com/i/spaces/1YqGopgEbOXJv",jjkkth045,5/5/2022
"please let me speak i have something to share base on my interviews sa mga kakilala kong bbm supporters #HALALAN2022https://twitter.com/i/spaces/1YqGopgEbOXJv",jjkkth045,5/5/2022
"If you're still undecided or want a checklist of who to vote for this May 9, I hope this helps you #BBM #LeniRobredo#PingLacson #IskoMoreno #Halalan2022 #Elections2022",francorulloda,5/7/2022
"In the 1965, 1969 & 1981 Presidential Elections the INC endorsed then the late Former President Ferdinand Marcos & it was recorded as the highest pres result in terms of # of voters.So it doesn't come as a shock if they are now endorsing #BBM #Fact #Halalan2022",Curls_yammy,5/3/2022
smni is biased and yung may ari has openly endorsed bbm. even a few of the panels have openly endorsed him din. i watched the debate including the senatorials kasi i genuinely want to know other candidates talaga as a first time voter #HALALAN2022,singyularities,5/5/2022
"It looks like the fight will be between ""evil"" vs. ""more evil."" The losers are the ""more evil"" ones as deemed by the majority of voters. Who will win?#Eleksyon2022 #eleksiyon2022 #Halalan2022 #Halalan #BBM #LeniRobredo",justdontassume,5/7/2022
"Google Trends suggests a win for @LeniRobredo, whereas Pulse Asia expects a BBM win. This #Halalan2022 is a test for Google Trends, but it's a life-and-death for Pulse Asia's for-profit business.Leni's victory will spell doom for traditional politicians and traditional surveys.",BonnJuego,5/2/2022
"An Isko Moreno supporter here at the miting de avance in Moriones, Tondo brought two placards to show his support for the presidential candidate.One reads “LENI - Lahat Eto Na Isko” while the other, “BBM - Buong Bansa Moreno.” #Halalan2022",biancadava,5/7/2022
"“If you want to be proud of yourself, then do things in which you can take pride.” – Karen Horney Proud supporter of BBM - SARA here ♥️✌🏻💚👊🏻#bbmforpresident2022 #saradutertevicepresident2022 #halalan2022 #uniteambbmsara2022",itsmemitziel,5/7/2022
A PNoy supporter asking what his admin's inefficiencies are then is like a BBM supporter asking what his father's crimes were during the Martial Law. 🙄 #Halalan2022 #Eleksyon2022,choyzee,5/6/2022
"genuine question, if the government wasnt able to offer help during the yolanda. why would you vote for bbm who was a senator that time? #HALALAN2022https://twitter.com/i/spaces/1YqGopgEbOXJv",loeygzb,5/5/2022
"Presidential and vice-presidential inspired NFT! 🍄
VOTE WISELY! https://opensea.io/collection/fungusverse
Minted on Polygon. 1/1 non-generative, hand-drawn art! 💓
#NFT #NFTMarketPH #LeniKiko #BBMSaraUNITEAM #Leni #BBM #IskoMoreno #pinglacson #pixel #Halalan2022 #Uniteam #KulayRosasAngBukas",Jijisaur,5/7/2022
Philippines should actually postpone the elections for 1 year; BBM supporters are getting the best treatment they will receive before they are dumped after they cast their votes #Kawawa #Used #ASEAN #Halalan2022 #BatangasIsPink,marcboni,5/1/2022
"Another “what you see is what you get” candidate. Just like BBM.#Halalan2022",mhyusingco,5/4/2022
"short kakampink story 🌸🌾#KulayRosasAngBukas #LeniRobredo #Halalan2022 (1)I was buying hopia from a vendor samin, then my neighbor was talking about politics tas i heard them saying “feel ko naman mananalo si bBm”",instachuu_,5/6/2022
"More than BBM winning, its his rude, boisterous, fake news-peddling supporters who will dominate the society. And just the thought of it makes me cringe to death. #Halalan2022 #LeniRobredo2022 #LeniKiko2022",ManalangAris,5/6/2022
"Top story: @jhonzalon: 'Just remember that Miriam Santiago trusted BBM's leadership and integrity.Don't tell me that you have a better judgement of character than THE GREAT MIRIAM SANTIAGO. #Halalan2022 ' , see more https://tweetedtimes.com/v/590?s=tnp",matty_adj,5/4/2022
"Maybe some of you are asking, Why BBM? Here are some:
https://m.facebook.com/story.php?story_fbid=10225254912793552&id=1643709263
#Halalan2022 #BBMSARA2022 #BBMIsMyPresident2022 #BBMSaraUNITEAM @bongbongmarcos",iamdhenx,5/3/2022
"If BBM will win, hopefully they will make a documentary about it just like The Kingmaker. Focusing on how massive disinformation propaganda and electoral fraud successfully prevails and ultimately win an election.#LeniKiko2022 #Halalan2022",kimpuchikuku,5/5/2022
"DIBA. That’s why I still don’t get it while people will vote for him. Lord, bless and guide those people’s mind and hearts. #Halalan2022 #Eleksyon2022 #BBM #MarcosMagnanakaw #MarcosSinungaling #MarcosDuwag #MarcosNOTaHero",call_me_mark,5/1/2022
"Is it just me? But why does (some or mostly I guess)bbm supporters needs to ask why takot tayo sa martial law? hindi ba sila aware sa injustices and inhumane activities happened during that time?@francescatomg#HALALAN2022https://twitter.com/i/spaces/1YqGopgEbOXJv",molalaxx,5/5/2022
"I just want to ask po if what are your opinions abt bbm supporters saying that their family didn't steal anything, while some naman admitting it then they're saying that they steal for us Filipino's din naman? @francescatomg#HALALAN2022https://twitter.com/i/spaces/1YqGopgEbOXJv",molalaxx,5/5/2022
"BBM is not a tiger, and he will never be one. A tiger has a personality of being brave, manly, optimistic, energetic, and trustworthy, which he clearly doesn't have any of these.#HALALAN2022https://twitter.com/i/spaces/1YqGopgEbOXJv",hwang_ryujin4k,5/5/2022
"Pormal nang inendorso ng grupo ng mga obispo, pari, at diyakono mula sa Simbahang Katoliko ang tambalang Leni Robredo at Kiko Pangilinan para sa #Halalan2022.Samantala, nakuha naman ng Bongbong Marcos-Sara Duterte tandem ang suporta ng Iglesia Ni Cristo.",TVPatrol,5/4/2022
